sample_code,date_collected,site_name,sample_location,cultivar,rootstock,replicate,orchard_block_number,year_planted,year_planted,NA,pH,lime_index,P_ppm,K_ppm,Ca_ppm,Mg_ppm,NO3-N_ppm,NH4-N_ppm,OM_percent,sand_percent,silt_percent,clay_percent,soil_type,Lesion,Dagger,Ring,Pin,Stunt,Spiral,Tylenchs,Aphelenchs,Dorylaims,Monochs,BacterialFeeders,MycorrhizalFungi,Oligochaetes
C22,5/22/17,Clarksville,RootZone,GibsonGold,Bud9,4,NA,2003,actual,NA,6.5,72,93,191,923,155,1.7,4.1,2.3,45.3,39.6,15.1,Loam,4,4,0,10,0,0,0,16,4,8,1056,36,4
C23,5/22/17,Clarksville,RootZone,GibsonGold,Bud9,5,NA,2003,actual,NA,6.8,NA,96,237,975,141,0.1,3.5,2.3,41.3,43.6,15.1,Loam,0,8,0,0,0,0,16,36,0,8,1008,28,8
C24,5/22/17,Clarksville,RootZone,GibsonGold,Bud9,6,NA,2003,actual,NA,6.6,71,7,236,938,134,0.2,3.4,2.4,49.3,37.6,13.1,Loam,0,28,0,0,8,8,40,10,0,20,2020,44,44
C25,5/23/17,Clarksville,DriveRowbetEmla26,NA,NA,1,NA,NA,NA,NA,6.7,72,78,336,1101,226,6.6,7.8,4.3,38.3,45.6,16.1,Loam,10,2,0,0,0,0,60,0,40,0,3120,92,12
C26,5/24/17,Clarksville,DriveRowbetEmla26,NA,NA,2,NA,NA,NA,NA,7,NA,64,293,1342,242,4.8,6.8,4.6,41.2,43.7,15.1,Loam,28,4,0,0,0,0,40,8,4,12,248,44,4
C27,5/25/17,Clarksville,DriveRowbetM9,NA,NA,3,NA,NA,NA,NA,6.3,70,96,246,994,183,4.5,5.7,3.7,44.2,40.7,15.1,Loam,8,34,0,6,0,0,8,0,4,8,1272,76,4
C28,5/26/17,Clarksville,DriveRowbetNic29,NA,NA,4,NA,NA,NA,NA,6.6,72,96,233,964,151,1.2,5.9,4.2,47.2,39.7,13.1,Loam,0,36,0,0,0,0,10,60,20,0,2000,44,28
C29,5/27/17,Clarksville,DriveRowbetNic29,NA,NA,5,NA,NA,NA,NA,6.3,71,86,256,986,149,7.3,5.9,3.9,41.2,43.7,15.1,Loam,0,0,0,0,0,0,32,16,4,20,1202,52,0
C30,5/28/17,Clarksville,DriveRowbetBud9,NA,NA,6,NA,NA,NA,NA,5.7,69,60,54,606,94,0.2,5.2,2.8,47.2,37.7,15.1,Loam,0,0,0,0,0,0,40,10,0,20,2080,100,8
F01,6/26/17,Vinton(Schwallier),RootZone,Red,M26,NA,1,1982,actual,NA,6.7,71,41,178,1377,148,0.2,4.1,3.5,40.2,41.7,18.1,Loam,4,8,0,0,0,0,60,8,4,20,840,208,36
F02,6/26/17,Vinton(Schwallier),RootZone,Empire,M26,NA,1,1982,actual,NA,6.3,70,84,189,901,89,0.2,3.7,2.8,51.2,33.7,15.1,Loam,4,4,0,0,0,0,84,12,8,0,312,64,12
F03,6/26/17,Vinton(Schwallier),RootZone,JonaGold,M26,NA,1,1982,actual,NA,5.7,68,78,137,615,57,0.2,4.2,2.5,63.1,24.8,12.1,SandyLoam,14,0,0,0,0,0,244,16,4,4,180,32,8
F04,6/26/17,Vinton(Schwallier),RootZone,IdaRed,M26,NA,1,1982,actual,NA,6.4,70,108,207,765,81,0.2,4.4,2.4,61.2,26.7,12.1,SandyLoam,0,4,0,0,0,0,92,36,4,0,816,60,8
F05,6/26/17,Vinton(Schwallier),RootZone,Ginger,M26,NA,1,1982,actual,NA,6,70,100,164,660,58,0.2,4.4,2.2,67.3,21.6,11.1,SandyLoam,2,4,0,66,0,0,256,8,0,0,164,40,16
F06,6/26/17,"SchweitzerBlock1,Zone15",RootZone,NSpy,M7,NA,2,NA,unknown,NA,6.8,NA,34,135,1201,122,0.2,3.4,2.5,54.3,28.5,17.2,SandyLoam,0,14,0,0,0,0,40,8,4,4,232,128,28
F07,6/26/17,"SchweitzerBlock1,Zone15",RootZone,Rome,M7,NA,2,NA,unknown,NA,6.6,72,67,115,862,57,0.2,2.5,1.6,74.3,15.6,10.1,SandyLoam,2,16,0,0,50,8,28,8,28,8,612,52,12
F08,6/26/17,"SchweitzerBlock1,Zone15",RootZone,NSpy,standard,NA,2,NA,unknown,NA,7.2,NA,52,252,1908,148,0.4,5,4.4,41,35.8,23.2,Loam,8,48,6,0,0,200,176,8,12,4,296,388,20
F09,6/26/17,"SchweitzerBlock2,Zone3",RootZone,Jonathan,M7,NA,3,NA,unknown,NA,7.2,NA,31,162,1699,132,0.3,3.7,3.4,46.9,28.9,24.2,Loam,12,16,0,2,0,0,148,28,8,0,300,100,4
F10,6/26/17,"SchweitzerBlock2,Zone3",RootZone,Red,M7,NA,3,NA,unknown,NA,7.2,NA,19,204,1651,135,0.3,3.2,3.2,49,27.9,23.1,SandyClayLoam,0,6,0,2,0,0,228,32,8,0,420,36,16
F11,6/26/17,"SchweitzerBlock2,Zone3",RootZone,Empire,M9,NA,3,NA,unknown,NA,6.8,NA,8,75,1453,75,0.2,2.5,2.7,55,23.9,21.1,SandyClayLoam,8,74,0,0,0,0,112,20,24,0,364,276,4
F12,6/26/17,Thome,RootZone,Golden,M9,NA,4,c.1990s,approximate,NA,6.5,71,108,75,1203,208,0.2,3.5,3.1,41,37.9,21.1,Loam,0,22,0,0,0,4,92,40,8,4,216,48,0
F13,6/26/17,Thome,RootZone,Cameo,M26,NA,4,c.1990s,approximate,NA,6.3,70,29,103,1208,200,0.3,3.2,3.1,37,41.9,21.1,Loam,0,0,0,0,0,0,56,16,20,0,180,116,0
F14,6/26/17,Dunnabeck,RootZone,JonaGold,M9,NA,5,c.1990s,approximate,NA,7,NA,78,153,1350,193,0.2,2.7,3.4,51,32.9,16.1,Loam,0,20,6,60,0,0,60,0,4,8,324,88,2
F15,6/26/17,Dunnabeck,RootZone,Fuji,M9,NA,5,c.1990s,approximate,NA,6.9,NA,54,113,1270,190,0.1,2.8,2.8,55,30.9,14.1,SandyLoam,4,32,0,0,0,0,140,36,12,4,700,24,4
F16,6/26/17,KlenkWest,RootZone,MacIntosh,M26,NA,6,c.2000s,approximate,NA,7.8,NA,37,117,3904,136,0.3,3.8,3.4,33,44.9,22.1,Loam,10,18,0,0,0,0,20,4,36,4,848,28,0
F17,6/26/17,KlenkWest,RootZone,Red,M26,NA,6,c.2000s,approximate,NA,7.3,NA,67,101,2835,127,0.4,3.8,3,33,45.9,21.1,Loam,4,10,0,36,0,0,40,4,8,8,212,8,8
F18,6/26/17,KlenkEast,RootZone,MacIntosh,M26,NA,7,c.2000s,approximate,NA,7.5,NA,47,112,1975,257,0.4,3.4,3.3,39,40.9,20.1,Loam,0,0,0,4,4,0,32,20,20,0,176,24,12
F19,6/26/17,KlenkEast,RootZone,Red,M26,NA,7,c.2000s,approximate,NA,7.5,NA,41,132,1896,237,0.4,3.2,2.5,45,34.9,20.1,Loam,4,0,0,2,0,0,28,8,32,16,540,20,20
F20,6/26/17,DietrichWest,RootZone,Jonathan,M9,NA,8,NA,unknown,NA,6.7,71,96,160,1163,158,0.2,2.9,2.7,49,35.9,15.1,Loam,0,2,0,10,0,0,32,8,8,8,1296,4,12
F21,6/26/17,DietrichWest,RootZone,Golden,M9,NA,8,NA,unknown,NA,6.3,71,131,222,1104,192,1,6.7,2.6,54,31.9,14.1,SandyLoam,0,12,0,46,0,0,24,24,0,4,480,8,4
F22,6/26/17,DietrichEast,RootZone,Jonathan,M9,NA,9,NA,unknown,NA,6.7,71,114,181,1259,184,0.3,3.8,3,49,35.9,15.1,Loam,0,4,0,26,0,0,24,4,0,0,172,20,12
F23,6/26/17,DietrichEast,RootZone,Golden,M9,NA,9,NA,unknown,NA,6.4,70,117,208,1067,195,0.4,10.4,2.9,49,35.9,15.1,Loam,0,22,0,28,0,0,92,0,4,0,368,8,24
F24,6/26/17,Wells,RootZone,NSpy,Pajam_Bud9,NA,10,c.1990s,approximate,NA,6.2,69,76,197,908,112,4.8,4.6,3.3,50,34.9,15.1,Loam,10,0,0,0,0,0,0,12,4,4,84,8,0
F25,6/26/17,Wells,RootZone,PaulaRed,Pajam_Bud9,NA,10,c.1990s,approximate,NA,7.1,NA,74,202,1233,141,0.3,3,2.4,51,33.9,15.1,Loam,0,18,0,2,0,0,112,0,8,0,48,56,0
F26,6/27/17,FrensNorth,RootZone,IdaRed,Bud9,NA,11,1999,actual,NA,7,NA,86,226,2010,265,0.5,3.6,4.5,32,46.9,21.1,Loam,2,48,0,360,0,0,28,12,4,0,320,32,0
F27,6/27/17,FrensSouth,RootZone,IdaRed,Bud9,NA,12,1999,actual,NA,6.6,71,40,120,1681,217,0.2,4.5,4.1,37.3,43.3,19.4,Loam,10,24,4,96,0,0,140,8,8,8,332,28,16
F28,6/27/17,RoosinckPatterson,RootZone,Rome,M7,NA,13,c.1980s,approximate,NA,6.5,71,157,119,1108,148,0.1,3,3.5,57.3,28.3,14.4,SandyLoam,4,38,0,0,0,0,4,8,16,0,364,8,12
F29,6/27/17,RoosinckPatterson,RootZone,Red,M7,NA,13,c.1980s,approximate,NA,6.7,71,143,147,1174,181,0.2,3.7,3.8,59.3,25.3,15.4,SandyLoam,4,12,0,0,0,0,8,8,8,8,472,8,20
F30,6/27/17,RoosinckReeman,RootZone,MacIntosh,M7,NA,14,c.1980s,approximate,NA,6.9,NA,90,124,988,103,0.3,2.5,1.9,66.3,21.3,12.4,SandyLoam,0,4,0,0,0,0,44,8,0,4,200,16,32
F31,6/27/17,RoosinckReeman,RootZone,Red,M111,NA,14,c.1980s,approximate,NA,6.7,71,117,148,929,149,0.2,2.5,2.1,59.3,25.4,15.3,SandyLoam,0,0,0,0,0,0,20,8,12,0,492,24,16
F32,6/27/17,Rasch,RootZone,Empire,M7,NA,15,c.1980s,approximate,NA,6.1,70,135,87,622,106,0.2,2.4,1.6,71.3,18.4,10.3,SandyLoam,0,4,2,2,0,0,60,44,16,0,500,24,4
F33,6/27/17,Rasch,RootZone,IdaRed,M7,NA,15,c.1980s,approximate,NA,6.5,71,157,115,657,106,0.2,3,1.8,65.2,23.5,11.3,SandyLoam,0,0,0,0,0,0,20,0,0,0,1800,368,8
F34,6/27/17,Rasch,RootZone,JonaGold,M7,NA,15,c.1980s,approximate,NA,6.9,NA,124,111,814,145,0.2,2.9,2,65.2,22.5,12.3,SandyLoam,12,4,0,4,0,0,84,16,44,12,532,132,16
F35,6/27/17,Rasch,RootZone,NSpy,M7,NA,15,c.1980s,approximate,NA,6.7,72,127,105,809,116,0.2,2.6,1.9,71.2,17.5,11.3,SandyLoam,0,0,0,0,0,0,64,0,8,0,204,120,4
F36,6/28/17,RothNorth,RootZone,Red,M126,NA,16,c.1990s,approximate,NA,6.5,71,38,218,1218,152,0.2,4.5,3.6,51.2,31.5,17.3,Loam,18,18,0,0,0,0,32,28,8,4,844,72,8
F37,6/28/17,RothSouth,RootZone,Red,M126,NA,17,c.1990s,approximate,NA,6.3,71,12,112,1231,193,0.3,4.3,3.6,53.2,27.5,19.3,SandyLoam,4,140,0,0,0,0,96,12,8,0,180,200,76
F38,6/28/17,Kropf,RootZone,JonaGold,Bud9,NA,18,c.1980s,approximate,NA,7.1,NA,127,133,1093,135,0.4,3.6,2.6,61.2,26.5,12.3,SandyLoam,0,0,10,10,0,0,80,4,8,20,608,100,0
F39,6/28/17,Kropf,RootZone,Gala,Bud9,NA,18,c.1980s,approximate,NA,7.3,NA,96,145,1199,100,0.2,2.6,2.4,60.2,26.5,13.3,SandyLoam,0,0,0,0,0,0,100,40,10,0,1640,108,16
F40,6/28/17,Kropf,RootZone,Golden,Bud9,NA,18,c.1980s,approximate,NA,6.8,NA,84,159,949,92,0.2,2.9,2.2,61.2,26.5,12.3,SandyLoam,4,4,0,0,0,0,68,8,8,0,184,176,2
F41,6/28/17,RaschBigRock,RootZone,Red,M7,NA,19,c.1980s,approximate,NA,6.9,NA,157,179,1485,166,0.4,3.9,3.9,53.2,32.5,14.3,SandyLoam,4,26,0,0,0,0,120,36,8,16,632,12,4
F42,6/28/17,RaschBigRock,RootZone,IdaRed,M7,NA,19,c.1980s,approximate,NA,6.9,NA,192,185,1497,175,0.8,4.7,3.6,61.3,24.4,14.3,SandyLoam,2,4,0,0,0,0,20,60,10,0,2160,32,16
F43,6/28/17,RaschSouthofHouse,RootZone,Golden,M7,NA,20,c.1980s,approximate,NA,6.9,NA,152,205,1578,193,0.2,5,3.2,39.3,42.4,18.3,Loam,0,4,0,0,0,0,16,16,4,0,976,44,12
F44,6/28/17,RaschSouthofHouse,RootZone,Jonathan,M7,NA,20,c.1980s,approximate,NA,6.9,NA,186,214,1483,184,0.4,4.4,3.9,43.3,37.4,19.3,Loam,4,0,0,0,0,0,64,40,24,0,1024,44,20
F45,6/28/17,RaschSouthofHouse,RootZone,Red,M7,NA,20,c.1980s,approximate,NA,7,NA,179,264,1872,235,0.4,4.3,3.7,35.3,43.4,21.3,Loam,0,0,0,0,0,0,60,0,20,0,1560,28,0
