OTU ID	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	F25	F26	F27	F28	F29	F30	F31	F32	F33	F34	F35	F36	F37	F38	F39	F40	F41	F42	F43	F44	F45	taxonomy
SH018938.07FU_AF144483_refs	857.0	195.0	453.0	952.0	648.0	375.0	250.0	200.0	67.0	29.0	142.0	189.0	442.0	566.0	671.0	1033.0	775.0	935.0	420.0	295.0	404.0	278.0	748.0	1576.0	49.0	226.0	1.0	1.0	84.0	26.0	1319.0	735.0	1185.0	870.0	221.0	395.0	524.0	1613.0	221.0	712.0	45.0	109.0	371.0	150.0	184.0	281.0	154.0	94.0	18.0	199.0	63.0	229.0	345.0	877.0	23.0	402.0	319.0	478.0	562.0	42.0	502.0	894.0	106.0	200.0	146.0	1856.0	224.0	874.0	167.0	92.0	449.0	849.0	374.0	764.0	507.0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales
SH455880.07FU_EU754935_reps_singleton	39.0	17.0	8.0	16.0	14.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	22.0	7.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	40.0	7.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	10.0	2.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae
OTU_dn_75	147.0	3.0	0.0	64.0	76.0	63.0	0.0	15.0	1.0	1.0	8.0	0.0	481.0	0.0	0.0	135.0	0.0	86.0	158.0	0.0	71.0	23.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	26.0	92.0	7.0	2.0	418.0	11.0	10.0	151.0	22.0	0.0	0.0	0.0	3.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Ophiostomatales; f__Ophiostomataceae; g__Ophiostoma; s__Ophiostoma_tenellum
SH000783.07FU_KM355983_reps	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Coprinellus; s__unidentified
OTU_dn_454	29.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	11.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.0	28.0	0.0	36.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	61.0	0.0	0.0	28.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota
SH495093.07FU_HG937125_reps_singleton	112.0	160.0	63.0	51.0	87.0	184.0	153.0	27.0	53.0	50.0	10.0	9.0	43.0	45.0	34.0	38.0	31.0	34.0	19.0	63.0	13.0	5.0	24.0	111.0	194.0	73.0	79.0	23.0	58.0	24.0	49.0	37.0	74.0	170.0	153.0	44.0	107.0	79.0	167.0	121.0	127.0	46.0	103.0	94.0	139.0	157.0	49.0	97.0	35.0	107.0	20.0	13.0	11.0	62.0	100.0	19.0	40.0	10.0	84.0	21.0	12.0	14.0	10.0	28.0	22.0	30.0	20.0	175.0	22.0	2.0	35.0	25.0	44.0	20.0	37.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
OTU_dn_3294	398.0	705.0	1224.0	296.0	452.0	914.0	859.0	411.0	1013.0	1024.0	912.0	778.0	569.0	513.0	459.0	423.0	548.0	114.0	499.0	200.0	199.0	1114.0	498.0	92.0	556.0	1165.0	1009.0	295.0	1046.0	485.0	800.0	977.0	1151.0	2965.0	3761.0	732.0	679.0	547.0	1395.0	1073.0	89.0	1137.0	709.0	583.0	1358.0	121.0	21.0	416.0	581.0	716.0	230.0	427.0	874.0	627.0	945.0	911.0	848.0	709.0	703.0	915.0	760.0	698.0	458.0	364.0	563.0	929.0	2016.0	957.0	523.0	3075.0	245.0	1460.0	409.0	760.0	128.0	k__Fungi
SH018043.07FU_HG935998_reps	17.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	38.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	15.0	42.0	7.0	25.0	2.0	0.0	47.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Podospora; s__unidentified
SH012176.07FU_JX179252_reps	17.0	1.0	14.0	3.0	7.0	13.0	0.0	0.0	3.0	0.0	0.0	9.0	15.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	13.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	23.0	1.0	0.0	0.0	0.0	0.0	0.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__unidentified; s__unidentified
OTU_dn_2037	13.0	0.0	0.0	17.0	0.0	2.0	1.0	9.0	5.0	0.0	3.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	5.0	29.0	0.0	31.0	10.0	79.0	187.0	30.0	41.0	24.0	56.0	13.0	16.0	3.0	68.0	7.0	6.0	0.0	11.0	0.0	0.0	0.0	81.0	2.0	0.0	14.0	7.0	70.0	41.0	0.0	0.0	0.0	0.0	0.0	119.0	0.0	50.0	57.0	83.0	111.0	136.0	55.0	103.0	0.0	77.0	22.0	73.0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae
